country,leader_title,name,first,last,visit_type,n_articles,source
文莱,苏丹,哈桑纳尔,2013-04-05,2013-04-05,国事访问,1,PRC MFA zyxw wayback backfill
赞比亚,总统,萨塔,2013-04-06,2013-04-06,会见/会谈(双边),1,gov.cn ldhd wayback backfill
缅甸,总统,吴登盛,2013-04-06,2013-04-06,会见/会谈(双边),1,人民日报 rmrb wayback backfill
澳大利亚,总理,吉拉德,2013-04-07,2013-04-07,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
柬埔寨,首相,洪森,2013-04-07,2013-04-07,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
新西兰,总理,约翰·基,2013-04-07,2013-04-07,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
秘鲁,总统,乌马拉,2013-04-07,2013-04-07,会见/会谈(双边),2,人民日报 rmrb wayback backfill
哈萨克斯坦,总统,纳扎尔巴耶夫,2013-04-07,2013-04-07,会见/会谈(双边),2,人民日报 rmrb wayback backfill
墨西哥,总统,培尼亚,2013-04-07,2013-04-07,会见/会谈(双边),2,人民日报 rmrb wayback backfill
芬兰,总统,尼尼斯特,2013-04-09,2013-04-09,会见/会谈(双边),1,gov.cn ldhd wayback backfill
冰岛,总理,西于尔扎多蒂,2013-04-16,2013-04-16,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
法国,总统,奥朗德,2013-04-25,2013-04-26,会见/会谈(双边),2,gov.cn ldhd wayback backfill
巴勒斯坦,总统,阿巴斯,2013-05-06,2013-05-06,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
以色列,总理,内塔尼亚胡,2013-05-09,2013-05-09,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
希腊,总理,萨马拉斯,2013-05-16,2013-05-17,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
塔吉克斯坦,总统,拉赫蒙,2013-05-20,2013-05-20,会见/会谈(双边),1,gov.cn ldhd wayback backfill
乌拉圭,总统,穆希卡,2013-05-27,2013-05-27,国事访问,1,gov.cn ldhd wayback backfill
斯里兰卡,总统,拉贾帕克萨,2013-05-28,2013-05-29,会见/会谈(双边),2,gov.cn ldhd wayback backfill
斐济,总理,姆拜尼马拉马,2013-05-29,2013-05-29,会见/会谈(双边),2,gov.cn ldhd wayback backfill
埃塞俄比亚,总理,海尔马里亚姆,2013-06-13,2013-06-14,会见/会谈(双边),2,gov.cn ldhd wayback backfill
越南,国家主席,张晋创,2013-06-19,2013-06-20,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
韩国,总统,朴槿惠,2013-06-29,2013-06-29,国事访问,1,gov.cn ldhd wayback backfill
马其顿,总理,格鲁埃夫斯基,2013-07-02,2013-07-02,来华出席,1,gov.cn ldhd wayback backfill
罗马尼亚,总理,蓬塔,2013-07-02,2013-07-02,来华出席,1,gov.cn ldhd wayback backfill
巴基斯坦,总理,谢里夫,2013-07-04,2013-07-04,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
尼日利亚,总统,乔纳森,2013-07-10,2013-07-11,会见/会谈(双边),2,gov.cn ldhd wayback backfill
白俄罗斯,总统,卢卡申科,2013-07-15,2013-07-17,国事访问,1,PRC MFA zyxw wayback backfill (预告)
多米尼克,总理,斯凯里特,2013-07-17,2013-07-17,来华出席,1,gov.cn ldhd wayback backfill
瑞士,联邦主席,毛雷尔,2013-07-18,2013-07-18,来华出席,1,gov.cn ldhd wayback backfill
汤加,首相,图伊瓦卡诺,2013-07-22,2013-07-22,来华出席,1,gov.cn ldhd wayback backfill
肯尼亚,总统,肯雅塔,2013-08-19,2013-08-19,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
牙买加,总理,辛普森,2013-08-22,2013-08-22,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
塞尔维亚,总统,尼科利奇,2013-08-26,2013-08-26,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
新加坡,总理,李显龙,2013-08-26,2013-08-26,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
巴林,国王,哈马德,2013-09-16,2013-09-16,来华出席,1,gov.cn ldhd wayback backfill
